ID,glc__D_e,xyl__D_e,succ_e,ala__L_e,arg__L_e,asn__L_e,asp__L_e,cys__L_e,glu__L_e,gln__L_e,gly_e,his__L_e,ile__L_e,leu__L_e,lys__L_e,met__L_e,phe__L_e,pro__L_e,ser__L_e,thr__L_e,trp__L_e,tyr__L_e,val__L_e,ade_e,gua_e,csn_e,ura_e,thymd_e
82,44.40497336,0,0,0,5.2,0,0,0.1,0,0,0,0.2,0.4,0.8,0.5,0.2,0.4,0.4,0,0,0.1,0.2,0.6,0.2,0.2,0,0,0
83,44.40497336,0,0,0,5.2,0,0,0.1,0,0,0,0.2,0.4,0.8,0.5,0.2,0.4,0.4,0,0,0.1,0.2,0.6,0.2,0.2,0.2,0.2,0.2
84,0,53.28715114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,53.28715114,0,0.8,5.2,0.4,0.4,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0.4,10,0.4,0.1,0.2,0.6,0.2,0.2,0.2,0.2,0.2
86,0,53.28715114,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,53.28715114,0,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,53.28715114,0,0,5.2,0,0,0,0,0,0,0.2,0,0,0.5,0,0,0.4,0,0,0,0,0,0,0,0,0,0
89,0,53.28715114,0,0,5.2,0,0,0.1,0,0,0,0.2,0,0,0.5,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0
90,0,53.28715114,0,0,5.2,0,0,0.1,0,0,0,0.2,0.4,0.8,0.5,0.2,0,0.4,0,0,0,0,0.6,0,0,0,0,0
91,0,53.28715114,0,0,5.2,0,0,0.1,0,0,0,0.2,0.4,0.8,0.5,0.2,0.4,0.4,0,0,0.1,0.2,0.6,0,0,0,0,0
92,0,53.28715114,0,0,5.2,0,0,0.1,0,0,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0.4,10,0.4,0.1,0.2,0.6,0,0,0,0,0
93,0,53.28715114,0,0.8,5.2,0.4,0.4,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0.4,10,0.4,0.1,0.2,0.6,0.2,0.2,0,0,0
94,0,53.28715114,0,0.8,5.2,0.4,0.4,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0.4,10,0.4,0.1,0.2,0.6,0,0,0.2,0.2,0.2
95,0,53.28715114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0
96,0,53.28715114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2
97,0,53.28715114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
98,0,53.28715114,0,0.8,0,0.4,0.4,0,0.55,0.615,0.8,0,0,0,0,0,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
99,0,53.28715114,0,0.8,0,0.4,0.4,0,0.55,0.615,0.8,0,0,0,0,0,0.4,0,10,0.4,0.1,0.2,0,0.2,0.2,0.2,0.2,0.2
100,0,53.28715114,0,0.8,5.2,0.4,0.4,0.1,0.55,0.615,0.8,0,0,0,0,0.2,0.4,0.4,10,0.4,0.1,0.2,0,0.2,0.2,0.2,0.2,0.2
101,0,53.28715114,0,0.8,0,0.4,0.4,0,0.55,0.615,0.8,0,0,0,0,0,0,0,10,0.4,0,0,0,0,0,0,0,0
102,0,53.28715114,0,0.8,5.2,0.4,0.4,0,0.55,0.615,0.8,0,0,0,0,0,0,0.4,10,0.4,0,0,0,0,0,0,0,0
103,0,53.28715114,0,0.8,5.2,0.4,0.4,0,0.55,0.615,0.8,0,0.4,0.8,0,0,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
104,0,53.28715114,0,0.8,5.2,0.4,0.4,0,0.55,0.615,0.8,0,0.4,0.8,0.5,0,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
105,0,53.28715114,0,0.8,5.2,0.4,0.4,0.1,0.55,0.615,0.8,0,0.4,0.8,0.5,0.2,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
106,0,53.28715114,0,0.8,5.2,0.4,0.4,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
107,0,53.28715114,0,0.8,5.2,0.4,0.4,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0.4,10,0.4,0.1,0.2,0.6,0,0,0,0,0
108,0,53.28715114,0,0.8,5.2,0.4,0.4,0.1,0.55,0.615,0,0.2,0.4,0.8,0.5,0.2,0.4,0.4,0,0,0.1,0.2,0.6,0,0,0,0,0
109,0,53.28715114,0,0.8,5.2,0.4,0.4,0.1,0,0,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0.4,10,0.4,0.1,0.2,0.6,0,0,0,0,0
110,0,53.28715114,0,0.8,5.2,0.4,0.4,0,0.55,0.615,0,0,0.4,0.8,0.5,0,0,0.4,0,0,0,0,0.6,0,0,0,0,0
111,0,53.28715114,0,0.8,0,0.4,0.4,0.1,0.55,0.615,0,0.2,0,0,0,0.2,0.4,0,0,0,0.1,0.2,0,0,0,0,0,0
112,0,53.28715114,0,0.8,5.2,0.4,0.4,0,0,0,0.8,0,0.4,0.8,0.5,0,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
113,0,53.28715114,0,0.8,0,0.4,0.4,0.1,0,0,0.8,0.2,0,0,0,0.2,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
114,0,53.28715114,0,0,5.2,0,0,0,0.55,0.615,0.8,0,0.4,0.8,0.5,0,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
115,0,53.28715114,0,0,0,0,0,0.1,0.55,0.615,0.8,0.2,0,0,0,0.2,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
116,0,53.28715114,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
117,0,53.28715114,0,0,5.2,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0
118,0,53.28715114,0,0,5.2,0,0,0.1,0.55,0.615,0,0.2,0,0,0.5,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0
119,0,53.28715114,0,0,5.2,0,0,0.1,0.55,0.615,0,0.2,0.4,0.8,0.5,0.2,0,0.4,0,0,0,0,0.6,0,0,0,0,0
120,0,53.28715114,0,0,5.2,0,0,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
121,0,53.28715114,0,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0.4,0,0,0,0.1,0.2,0,0,0,0,0,0
122,0,53.28715114,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0.5,0.2,0.4,0,0,0,0.1,0.2,0,0,0,0,0,0
123,0,53.28715114,0,0,0,0,0,0.1,0,0,0,0.2,0.4,0.8,0.5,0.2,0.4,0,0,0,0.1,0.2,0.6,0,0,0,0,0
124,0,53.28715114,0,0,5.2,0,0,0.1,0.55,0.615,0,0.2,0.4,0.8,0.5,0.2,0.4,0.4,0,0,0.1,0.2,0.6,0,0,0,0,0
125,0,53.28715114,0,0,5.2,0,0,0.1,0.55,0.615,0,0.2,0,0,0.5,0.2,0,0.4,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
126,0,53.28715114,0,0,0,0,0,0.1,0,0,0,0.2,0.4,0.8,0.5,0.2,0.4,0,0,0,0.1,0.2,0.6,0.2,0.2,0.2,0.2,0.2
127,0,53.28715114,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
